Municipio;Orgao;Item de Despesa;Valor Investido
CONQUISTA;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;VEICULOS;61.116,00
CONQUISTA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTOS DE COMUNICACAO E TELEFONIA;8.980,00
CONQUISTA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;182.995,00
CONQUISTA;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;20.000,00
CONQUISTA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
CONSELHEIRO LAFAIETE;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTOS DE COMUNICACAO E TELEFONIA;52.246,33
CONSELHEIRO LAFAIETE;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;MAQUINAS, APARELHOS, UTENSILIOS E EQUIPAMENTOS  USO ADMINISTRATIVO;499,38
CONSELHEIRO LAFAIETE;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;MAQUINAS, APARELHOS, UTENSILIOS E EQUIPAMENTOS DE USO INDUSTRIAL;5.516,00
CONSELHEIRO LAFAIETE;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;341.568,69
CONSELHEIRO LAFAIETE;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;VEICULOS;61.116,00
CONSELHEIRO LAFAIETE;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;365.259,00
CONSELHEIRO LAFAIETE;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;449.276,94
CONSELHEIRO LAFAIETE;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS DE INFORMATICA;642.707,40
CONSELHEIRO LAFAIETE;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;18.452,04
CONSELHEIRO PENA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;152.597,23
CONSELHEIRO PENA;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;VEICULOS;61.116,00
CONSELHEIRO PENA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;4.855,80
CONSOLACAO;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;114.766,65
CONSOLACAO;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
CONSOLACAO;SECRETARIA DE ESTADO DE EDUCACAO;MOBILIARIO;30.689,00
CONTAGEM;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;ARMAMENTO E EQUIPAMENTO DE USO POLICIAL;68.670,00
CONTAGEM;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTOS DE INFORMATICA;3.440,00
CONTAGEM;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;MAQUINAS, APARELHOS, UTENSILIOS E EQUIPAMENTOS DE USO INDUSTRIAL;11.517,00
CONTAGEM;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;567.000,00
CONTAGEM;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;74.660,02
CONTAGEM;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;IMOVEIS NECESSARIOS A REALIZACAO DE OBRAS DE BENS NAO-PATRIMONIAVEIS;71.501,25
CONTAGEM;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;128.622,38
CONTAGEM;FUNDO ESTADUAL DE SAUDE;EQUIPAMENTOS DE INFORMATICA;21.120,00
CONTAGEM;FUNDO ESTADUAL DE SAUDE;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;60.604,00
CONTAGEM;FUNDO ESTADUAL DE SAUDE;MOBILIARIO;25.089,50
CONTAGEM;INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS;EQUIPAMENTOS DE COMUNICACAO E TELEFONIA;8.239,46
CONTAGEM;INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS;FERRAMENTAS, EQUIP. E INSTRUMENTOS P/ OFICINA, MEDICAO E INSPECAO;20.760,90
CONTAGEM;INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS;MAQUINAS, APARELHOS, UTENSILIOS E EQUIPAMENTOS  USO ADMINISTRATIVO;909
CONTAGEM;INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS;MAQUINAS, APARELHOS, UTENSILIOS E EQUIPAMENTOS DE USO INDUSTRIAL;1.733,99
CONTAGEM;INSTITUTO MINEIRO DE AGROPECUARIA;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;31.064,00
CONTAGEM;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS PATRIMONIAVEIS;196.719,72
CONTAGEM;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;VEICULOS;246.000,00
CONTAGEM;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;APARELHOS E UTENSILIOS DOMESTICOS;2.228,00
CONTAGEM;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;ARMAMENTO E EQUIPAMENTO DE USO POLICIAL;21.413,84
CONTAGEM;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTOS DE COMUNICACAO E TELEFONIA;41.000,00
CONTAGEM;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTOS DE INFORMATICA;20.834,99
CONTAGEM;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTOS DE SOM, VIDEO, FOTOGRAFICO E CINEMATOGRAFICO;3.175,00
CONTAGEM;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;2.838,00
CONTAGEM;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;FERRAMENTAS, EQUIP. E INSTRUMENTOS P/ OFICINA, MEDICAO E INSPECAO;1.679,00
CONTAGEM;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;MAQUINAS, APARELHOS, UTENSILIOS E EQUIPAMENTOS  USO ADMINISTRATIVO;38.854,44
CONTAGEM;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;MAQUINAS, APARELHOS, UTENSILIOS E EQUIPAMENTOS DE USO INDUSTRIAL;3.699,80
CONTAGEM;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;MATERIAL ESPORTIVO E RECREATIVO;3.610,00
CONTAGEM;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;MOBILIARIO;3.976,00
CONTAGEM;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;243.980,00
CONTAGEM;SECRETARIA DE ESTADO  DE INFRAESTRUTURA E MOBILIDADE;DESPESAS DE EXERCICIOS ANTERIORES - OUTRAS DESPESAS;10.151.482,80
CONTAGEM;SECRETARIA DE ESTADO  DE INFRAESTRUTURA E MOBILIDADE;ESTUDOS E PROJETOS DE BENS NAO PATRIMONIAVEIS;887.991,85
CONTAGEM;SECRETARIA DE ESTADO  DE INFRAESTRUTURA E MOBILIDADE;EXECUCAO DE OBRAS POR CONTRATO DE BENS PATRIMONIAVEIS;1.262.726,07
CONTAGEM;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;1.289.959,69
CONTAGEM;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS DE SOM, VIDEO, FOTOGRAFICO E CINEMATOGRAFICO;116.583,48
CONTAGEM;SECRETARIA DE ESTADO DE EDUCACAO;MOBILIARIO;126.900,00
COQUEIRAL;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;44.448,45
COQUEIRAL;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
COQUEIRAL;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;77.569,09
COQUEIRAL;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;1.942,32
CORACAO DE JESUS;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;344.426,40
CORACAO DE JESUS;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;MOBILIARIO;3.049,47
CORACAO DE JESUS;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;VEICULOS;61.116,00
CORACAO DE JESUS;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;213.127,00
CORACAO DE JESUS;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;16.509,72
CORDISBURGO;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;71.434,72
CORDISBURGO;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;EQUIPAMENTOS DE SOM, VIDEO, FOTOGRAFICO E CINEMATOGRAFICO;1.600,00
CORDISBURGO;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;VEICULOS;61.116,00
CORDISBURGO;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
CORDISBURGO;SECRETARIA DE ESTADO DE GOVERNO;AUXILIOS;130.000,00
CORDISLANDIA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;33.636,68
CORDISLANDIA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
CORDISLANDIA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
CORDISLANDIA;SECRETARIA DE ESTADO DE GOVERNO;AUXILIOS;0
CORINTO;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;509.089,16
CORINTO;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;88.332,79
CORINTO;FUNDO ESTADUAL DE SAUDE;MOBILIARIO;1.190,00
CORINTO;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;EQUIPAMENTOS DE INFORMATICA;995
CORINTO;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;MOBILIARIO;2.510,00
CORINTO;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;VEICULOS;61.116,00
CORINTO;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;121.990,00
CORINTO;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;20.000,00
CORINTO;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;6.798,12
COROACI;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;142.471,27
COROACI;FUNDO ESTADUAL DE SAUDE;MOBILIARIO;1.190,00
COROACI;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;599.999,87
COROACI;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;2.913,48
COROMANDEL;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1.031.717,33
COROMANDEL;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;29.444,22
COROMANDEL;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;121.990,00
COROMANDEL;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;546.527,70
COROMANDEL;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;8.740,44
COROMANDEL;SECRETARIA DE ESTADO DE EDUCACAO;MOBILIARIO;51.140,00
CORONEL FABRICIANO;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;MAQUINAS, APARELHOS, UTENSILIOS E EQUIPAMENTOS DE USO INDUSTRIAL;5.516,00
CORONEL FABRICIANO;FUNDO ESTADUAL DE SAUDE;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;47.500,00
CORONEL FABRICIANO;FUNDO ESTADUAL DE SAUDE;MAQUINAS, APARELHOS, UTENSILIOS E EQUIPAMENTOS  USO ADMINISTRATIVO;20.555,78
CORONEL FABRICIANO;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;VEICULOS;123.000,00
CORONEL FABRICIANO;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;APARELHOS E UTENSILIOS DOMESTICOS;2.205,00
CORONEL FABRICIANO;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTOS DE INFORMATICA;2.495,97
CORONEL FABRICIANO;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTOS DE SOM, VIDEO, FOTOGRAFICO E CINEMATOGRAFICO;5.623,99
CORONEL FABRICIANO;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;FERRAMENTAS, EQUIP. E INSTRUMENTOS P/ OFICINA, MEDICAO E INSPECAO;3.952,49
CORONEL FABRICIANO;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;MAQUINAS, APARELHOS, UTENSILIOS E EQUIPAMENTOS  USO ADMINISTRATIVO;4.933,00
CORONEL FABRICIANO;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;MOBILIARIO;18.737,99
CORONEL FABRICIANO;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;121.990,00
CORONEL FABRICIANO;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;390.762,90
CORONEL FABRICIANO;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS DE INFORMATICA;1.133.665,70
CORONEL FABRICIANO;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;12.625,08
CORONEL MURTA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;265.417,14
CORONEL MURTA;FUNDO ESTADUAL DE SAUDE;MAQUINAS, APARELHOS, UTENSILIOS E EQUIPAMENTOS  USO ADMINISTRATIVO;1.877,00
CORONEL MURTA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
CORONEL MURTA;SECRETARIA DE ESTADO  DE INFRAESTRUTURA E MOBILIDADE;AUXILIOS;84.000,00
CORONEL MURTA;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;350.000,00
CORONEL MURTA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
CORONEL PACHECO;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;155.685,03
CORONEL PACHECO;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;234.212,83
CORONEL XAVIER CHAVES;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;159.075,66
CORONEL XAVIER CHAVES;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;18.260,79
CORONEL XAVIER CHAVES;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;ARMAMENTO E EQUIPAMENTO DE USO POLICIAL;12.153,46
CORONEL XAVIER CHAVES;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
CORONEL XAVIER CHAVES;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
CORREGO DANTA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;133.175,69
CORREGO DANTA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
CORREGO DANTA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
CORREGO DO BOM JESUS;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;35.864,55
CORREGO DO BOM JESUS;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
CORREGO FUNDO;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;72.829,59
CORREGO FUNDO;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;ESTUDOS E PROJETOS DE BENS NAO PATRIMONIAVEIS;863.933,24
CORREGO FUNDO;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
CORREGO NOVO;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;72.915,84
CORREGO NOVO;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;152.322,82
CORREGO NOVO;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
COUTO DE MAGALHAES DE MINAS;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;162.370,80
COUTO DE MAGALHAES DE MINAS;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;MOBILIARIO;3.049,47
COUTO DE MAGALHAES DE MINAS;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
COUTO DE MAGALHAES DE MINAS;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
COUTO DE MAGALHAES DE MINAS;SECRETARIA DE ESTADO DE GOVERNO;AUXILIOS;80.000,00
CRISOLITA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;157.309,92
CRISTAIS;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;42.190,72
CRISTAIS;FUNDO ESTADUAL DE SAUDE;AUXILIOS;50.000,00
CRISTAIS;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;VEICULOS;61.116,00
CRISTAIS;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
CRISTALIA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;96.003,06
CRISTALIA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;121.990,00
CRISTALIA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;1.942,32
CRISTIANO OTONI;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;67.159,28
CRISTIANO OTONI;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
CRISTINA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;266.326,36
CRISTINA;FUNDO ESTADUAL DE SAUDE;MOBILIARIO;1.190,00
CRISTINA;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;VEICULOS;61.116,00
CRISTINA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
CRUCILANDIA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;83.915,06
CRUCILANDIA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
CRUZEIRO DA FORTALEZA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;22.240,96
CRUZEIRO DA FORTALEZA;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;48.560,11
CRUZILIA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;193.410,92
CRUZILIA;SECRETARIA DE ESTADO DE  DESENVOLVIMENTO SOCIAL;AUXILIOS;70.000,00
CRUZILIA;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;20.000,00
CRUZILIA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;2.913,48
CUPARAQUE;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;73.329,25
CUPARAQUE;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
CUPARAQUE;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;33.952,16
CUPARAQUE;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;1.942,32
CURRAL DE DENTRO;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;37.550,31
CURRAL DE DENTRO;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
CURRAL DE DENTRO;SECRETARIA DE ESTADO DE DESENVOLVIMENTO E INTEGRACAO DO NORTE E NORDESTE DE MINAS GERAIS;DESPESAS DE EXERCICIOS ANTERIORES - OUTRAS DESPESAS;38.249,86
CURRAL DE DENTRO;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;50.000,00
CURRAL DE DENTRO;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
CURVELO;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTOS DE COMUNICACAO E TELEFONIA;757,62
CURVELO;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;MAQUINAS, APARELHOS, UTENSILIOS E EQUIPAMENTOS  USO ADMINISTRATIVO;8.499,00
CURVELO;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;MAQUINAS, APARELHOS, UTENSILIOS E EQUIPAMENTOS DE USO INDUSTRIAL;5.516,00
CURVELO;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DESPESAS DE EXERCICIOS ANTERIORES - OUTRAS DESPESAS;1.769,01
CURVELO;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;819.166,35
CURVELO;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;171.175,57
CURVELO;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;EQUIPAMENTOS DE INFORMATICA;3.980,00
CURVELO;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;MOBILIARIO;20.421,00
CURVELO;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;VEICULOS;184.116,00
CURVELO;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;152.132,00
CURVELO;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;637.857,66
CURVELO;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS DE INFORMATICA;498.307,90
CURVELO;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;12.625,08
